XYZ (105953 points)
122.235 17.740 451.800
122.406 17.309 33.858
121.841 30.840 4.971
121.857 30.817 7.927
121.886 30.824 8.720
121.826 30.864 2.885
121.915 30.833 7.590
121.945 30.842 6.783
121.975 30.852 6.026
122.006 30.861 5.589
122.037 30.870 4.528
122.069 30.879 4.977
122.101 30.888 5.890
122.134 30.898 5.707
122.168 30.907 6.000
122.202 30.916 7.000
122.238 30.925 6.771
122.274 30.933 7.000
122.311 30.942 8.000
122.348 30.950 8.789
122.387 30.958 9.000
122.427 30.966 9.781
122.467 30.974 11.032
122.508 30.982 12.507
122.546 30.983 14.376
122.584 30.995 16.034
122.628 31.001 17.839
122.673 31.008 19.781
122.719 31.014 21.402
122.766 31.021 23.061
122.814 31.027 28.972
122.863 31.033 36.027
122.913 31.039 42.131
122.965 31.044 47.794
123.017 31.049 51.222
123.071 31.055 49.840
123.126 31.059 58.912
123.182 31.064 57.790
123.240 31.067 54.674
123.299 31.072 50.957
123.359 31.077 56.235
123.420 31.081 56.267
123.484 31.085 46.221
123.555 31.086 42.507
123.626 31.095 37.682
123.694 31.099 48.176
123.763 31.104 49.967
123.833 31.109 47.906
123.905 31.114 47.876
123.978 31.118 47.636
124.053 31.122 52.035
124.130 31.125 50.268
124.209 31.127 51.107
124.289 31.129 54.000
124.371 31.129 57.027
124.455 31.128 54.865
124.541 31.126 50.738
124.628 31.123 54.975
124.718 31.119 56.088
124.809 31.114 57.091
124.902 31.107 49.590
124.997 31.098 56.775
125.094 31.088 58.006
125.194 31.076 60.479
125.295 31.062 61.372
125.398 31.045 73.162
125.503 31.027 61.477
125.610 31.006 60.354
125.718 30.982 62.671
125.829 30.955 66.372
125.941 30.925 68.833
126.055 30.891 83.305
126.171 30.853 84.190
126.287 30.811 80.000
126.405 30.765 80.750
126.524 30.713 90.985
126.643 30.655 89.273
126.761 30.591 92.356
126.875 30.544 99.557
126.976 30.460 125.113
127.092 30.378 110.003
127.208 30.287 110.895
127.316 30.185 112.150
127.420 30.070 125.429
127.521 29.951 155.991
127.616 29.818 291.848
127.720 29.668 639.802
127.793 29.499 1000.597
127.861 29.339 1044.589
127.919 29.173 1096.218
127.969 29.000 1141.656
128.011 28.822 1102.854
128.046 28.638 1102.034
128.074 28.449 1137.260
128.095 28.255 1090.409
128.111 28.057 597.263
128.121 27.855 769.496
128.125 27.648 788.427
128.123 27.437 444.559
128.115 27.222 330.950
128.101 27.004 564.918
128.081 26.782 72.389
128.056 26.559 64.656
127.997 26.363 10.765
127.988 26.150 219.838
127.938 25.918 1600.411
127.881 25.682 2269.325
127.817 25.443 2647.727
127.744 25.202 3537.813
127.663 24.959 4880.124
127.570 24.716 7176.934
127.470 24.467 6285.660
127.365 24.216 6195.411
127.219 23.952 6389.187
127.099 23.678 5955.714
126.962 23.426 6122.090
126.820 23.174 5715.262
126.672 22.922 5913.593
126.519 22.668 5927.440
126.360 22.412 5975.164
126.196 22.153 5744.584
126.024 21.894 5236.841
125.852 21.633 5850.939
125.673 21.367 5547.604
125.492 21.102 4002.757
125.290 20.897 5360.659
125.146 20.631 5573.747
124.937 20.364 5836.223
124.682 20.092 5767.946
124.454 19.792 5646.969
124.219 19.525 5706.950
123.969 19.266 5372.331
123.705 19.014 5321.916
123.421 18.778 4874.496
123.154 18.554 4039.208
122.784 18.483 4338.878
122.489 18.171 2414.649
122.131 18.198 753.678
121.812 30.836 5.712
121.827 30.812 7.763
121.844 30.788 7.940
121.873 30.794 8.000
121.903 30.801 8.082
121.797 30.861 2.559
121.932 30.810 8.000
121.962 30.819 8.000
121.992 30.828 6.960
122.022 30.837 7.000
122.054 30.846 6.008
122.089 30.853 6.000
122.124 30.864 6.000
122.157 30.873 6.000
122.191 30.881 7.000
122.226 30.889 6.903
122.261 30.897 7.588
122.297 30.905 8.000
122.333 30.912 8.875
122.371 30.920 10.000
122.409 30.927 10.179
122.448 30.934 11.342
122.488 30.941 13.287
122.529 30.947 14.000
122.571 30.953 16.098
122.614 30.960 17.031
122.658 30.966 18.902
122.702 30.971 20.000
122.748 30.977 21.128
122.795 30.982 24.397
122.842 30.987 29.307
122.891 30.992 35.335
122.941 30.997 42.776
122.992 31.001 47.542
123.044 31.005 49.073
123.098 31.009 55.191
123.152 31.013 56.880
123.208 31.016 52.740
123.265 31.019 54.000
123.323 31.022 50.000
123.382 31.025 54.302
123.443 31.028 58.832
123.504 31.032 46.143
123.561 31.027 44.071
123.619 31.037 49.862
123.684 31.040 57.327
123.752 31.044 59.470
123.820 31.047 51.357
123.891 31.050 45.757
123.963 31.053 44.000
124.036 31.056 46.490
124.111 31.058 42.270
124.188 31.058 51.540
124.267 31.058 52.000
124.347 31.057 52.461
124.429 31.055 53.869
124.513 31.052 57.335
124.599 31.048 59.260
124.686 31.043 50.047
124.775 31.036 53.096
124.866 31.028 53.540
